source,target,weight
u14,u09,0.23636363636363636
u14,u59,0.14545454545454545
u14,u01,0.03636363636363636
u14,u02,0.18181818181818182
u14,u04,0.10909090909090909
u14,u05,0.2545454545454545
u14,u07,0.14545454545454545
u14,u08,0.14545454545454545
u14,u10,0.14545454545454545
u14,u12,0.0
u14,u15,0.01818181818181818
u14,u16,0.10909090909090909
u14,u18,0.10909090909090909
u14,u19,0.14545454545454545
u14,u22,0.01818181818181818
u14,u24,0.05454545454545454
u14,u25,0.07272727272727272
u14,u27,0.09090909090909091
u14,u30,0.36363636363636365
u14,u32,0.09090909090909091
u14,u33,0.07272727272727272
u14,u43,0.0
u14,u46,0.18181818181818182
u14,u47,0.0
u14,u49,0.09090909090909091
u14,u54,0.16363636363636364
u14,u57,0.01818181818181818
u22,u09,0.18181818181818182
u22,u59,0.34545454545454546
u22,u01,0.09090909090909091
u22,u19,0.01818181818181818
u22,u57,0.38181818181818183
u22,u25,0.07272727272727272
u22,u02,0.32727272727272727
u22,u04,0.3090909090909091
u22,u05,0.03636363636363636
u22,u07,0.2727272727272727
u22,u08,0.05454545454545454
u22,u10,0.10909090909090909
u22,u12,0.07272727272727272
u22,u15,0.4
u22,u16,0.23636363636363636
u22,u18,0.05454545454545454
u22,u24,0.2727272727272727
u22,u27,0.05454545454545454
u22,u30,0.18181818181818182
u22,u32,0.05454545454545454
u22,u33,0.01818181818181818
u22,u43,0.4
u22,u46,0.18181818181818182
u22,u49,0.2
u22,u54,0.12727272727272726
u25,u36,0.0
u25,u09,0.2909090909090909
u25,u59,0.2545454545454545
u25,u01,0.3090909090909091
u25,u19,0.10909090909090909
u25,u20,0.0
u25,u57,0.16363636363636364
u25,u47,0.0
u25,u02,0.09090909090909091
u25,u04,0.2909090909090909
u25,u05,0.10909090909090909
u25,u07,0.3090909090909091
u25,u08,0.07272727272727272
u25,u10,0.4
u25,u12,0.01818181818181818
u25,u15,0.09090909090909091
u25,u16,0.10909090909090909
u25,u18,0.07272727272727272
u25,u24,0.18181818181818182
u25,u27,0.32727272727272727
u25,u30,0.8181818181818182
u25,u32,0.0
u25,u33,0.34545454545454546
u25,u43,0.01818181818181818
u25,u46,0.2
u25,u49,0.16363636363636364
u25,u54,0.07272727272727272
u32,u09,0.14545454545454545
u32,u59,0.18181818181818182
u32,u01,0.0
u32,u19,0.16363636363636364
u32,u57,0.18181818181818182
u32,u02,0.2545454545454545
u32,u04,0.18181818181818182
u32,u05,0.2545454545454545
u32,u07,0.09090909090909091
u32,u08,0.05454545454545454
u32,u10,0.01818181818181818
u32,u15,0.07272727272727272
u32,u16,0.21818181818181817
u32,u18,0.09090909090909091
u32,u24,0.09090909090909091
u32,u27,0.03636363636363636
u32,u30,0.16363636363636364
u32,u33,0.01818181818181818
u32,u43,0.10909090909090909
u32,u46,0.14545454545454545
u32,u49,0.05454545454545454
u32,u54,0.05454545454545454
u04,u36,0.0
u04,u42,0.0
u04,u09,0.509090909090909
u04,u59,0.2909090909090909
u04,u01,0.3090909090909091
u04,u19,0.4727272727272727
u04,u57,0.6181818181818182
u04,u47,0.10909090909090909
u04,u49,0.14545454545454545
u04,u02,0.8363636363636363
u04,u05,0.5818181818181818
u04,u07,0.23636363636363636
u04,u08,0.23636363636363636
u04,u10,0.34545454545454546
u04,u12,0.01818181818181818
u04,u15,0.5454545454545454
u04,u16,0.7090909090909091
u04,u18,0.18181818181818182
u04,u24,0.32727272727272727
u04,u27,0.3090909090909091
u04,u30,1.0
u04,u33,0.23636363636363636
u04,u43,0.21818181818181817
u04,u46,0.4909090909090909
u04,u54,0.23636363636363636
u12,u09,0.05454545454545454
u12,u59,0.07272727272727272
u12,u01,0.0
u12,u19,0.03636363636363636
u12,u57,0.0
u12,u49,0.01818181818181818
u12,u02,0.0
u12,u05,0.01818181818181818
u12,u10,0.34545454545454546
u12,u15,0.0
u12,u16,0.05454545454545454
u12,u18,0.05454545454545454
u12,u24,0.0
u12,u30,0.07272727272727272
u12,u33,0.0
u12,u43,0.05454545454545454
u12,u46,0.01818181818181818
u12,u54,0.03636363636363636
u07,u09,0.23636363636363636
u07,u59,0.2545454545454545
u07,u01,0.21818181818181817
u07,u19,0.05454545454545454
u07,u20,0.0
u07,u57,0.6545454545454545
u07,u49,0.03636363636363636
u07,u27,0.10909090909090909
u07,u02,0.2545454545454545
u07,u05,0.14545454545454545
u07,u08,0.05454545454545454
u07,u10,0.2909090909090909
u07,u15,0.23636363636363636
u07,u16,0.2
u07,u18,0.10909090909090909
u07,u24,0.18181818181818182
u07,u30,0.5454545454545454
u07,u33,0.4
u07,u43,0.21818181818181817
u07,u46,0.21818181818181817
u07,u54,0.14545454545454545
u46,u36,0.0
u46,u09,0.2545454545454545
u46,u59,0.32727272727272727
u46,u01,0.14545454545454545
u46,u19,0.07272727272727272
