source,target,weight
u35,u05,0.6390043983181204
u35,u15,0.6522118228743139
u35,u16,0.5242411618511881
u35,u17,0.44483938962680714
u35,u23,0.7934174545962722
u35,u25,0.8076545586879055
u35,u27,0.3605287556873494
u35,u32,0.48257929088068485
u35,u34,0.7468675560027415
u35,u42,1.0
u35,u51,0.7761267676381993
u35,u45,0.7571019805781611
u35,u58,0.683255373704
u35,u41,0.4815551831665478
u35,u50,0.3780528074576072
u35,u47,0.3634682341596352
u35,u39,0.35732804349173536
u56,u08,0.2052107209011799
u56,u24,0.3558167025993985
u56,u30,0.15623792554308896
u56,u36,0.048462939030992275
u56,u47,0.09374548662895761
u56,u49,0.006282821628730481
u56,u59,0.039428137296682035
u14,u04,0.4969220938749363
u14,u07,0.3441832393400291
u14,u10,0.38149050305099935
u14,u41,0.5602031886763219
u14,u15,0.5423720699375885
u14,u16,0.5387739046955946
u14,u20,0.44662188187828755
u14,u32,0.44200873398892965
u14,u30,0.4399804384324624
u14,u17,0.425880654840229
u14,u34,0.37261262448654725
u14,u51,0.3111459417943223
u14,u45,0.276772063463747
u34,u42,0.8305714276315578
u34,u09,0.5620314194877768
u34,u01,0.5991296350469073
u34,u04,0.7222946179792116
u34,u05,0.685901505260022
u34,u07,0.3893268290668221
u34,u15,0.8053246803743692
u34,u16,0.5235896901558386
u34,u17,0.6662850888605675
u34,u20,0.44718602047519207
u34,u22,0.04004019943300993
u34,u23,0.4767353400595391
u34,u25,0.782758040507127
u34,u27,0.34718668453544493
u34,u30,0.3576792759148383
u34,u32,0.6990665428915128
u34,u39,0.6403623167285037
u34,u51,0.6134000250776876
u34,u45,0.6053471026656114
u34,u41,0.6024581179796215
u34,u47,0.48223864810247563
u34,u50,0.4631416374367868
u34,u58,0.3565547408503779
u34,u44,0.2929373517031944
u17,u42,0.5171885016345761
u17,u47,0.3742918930112009
u17,u01,0.48918859609742044
u17,u04,0.723769772978706
u17,u07,0.3344760263950691
u17,u10,0.36194367454657517
u17,u15,0.7466783237605674
u17,u16,0.4751239540137869
u17,u41,0.6785862658021965
u17,u30,0.5399267017309045
u17,u32,0.5283230888977498
u17,u45,0.5041719694472667
u17,u51,0.4809249549271192
u17,u25,0.32423002270719686
u22,u13,0.29426267583110666
u22,u18,0.20140726464807554
u22,u19,0.043524139875009485
u22,u53,0.3211652555058383
u22,u30,0.17053099394864285
u22,u41,0.13602438651830132
u22,u24,0.12072866775438694
u22,u32,0.023173270486383513
u25,u42,0.9306765286829854
u25,u47,0.45503449925970246
u25,u23,0.37977218596882745
u25,u45,0.6276503394480697
u25,u51,0.5450703865585581
u25,u32,0.38796147830597755
u25,u58,0.3147129420496872
u25,u39,0.2617139404864592
u25,u50,0.24774845218687325
u32,u42,0.5585355898525242
u32,u09,0.7131511356548095
u32,u47,0.5345745620076235
u32,u01,0.5838566035434741
u32,u04,0.7328180281855816
u32,u05,0.6100305620212378
u32,u07,0.4097780506271539
u32,u15,0.698237782856224
u32,u16,0.5620493254115055
u32,u18,0.05385959711592357
u32,u20,0.4240614524310889
u32,u24,0.202333770936087
u32,u27,0.4177575299881834
u32,u30,0.2972150237085279
u32,u41,0.540080249546295
u32,u45,0.46779817651530264
u32,u43,0.4670481124382632
u32,u51,0.4499490909768716
u32,u39,0.4004532364015196
u32,u44,0.3191956046597569
u04,u09,0.5763896025515111
u04,u00,0.3684124787777643
u04,u01,0.4932126352078966
u04,u03,0.6392331960106858
u04,u15,0.7409492304457806
u04,u41,0.7146872470362738
u04,u05,0.5819406906699467
u04,u30,0.5648944306498058
u04,u10,0.5320142479596945
u12,u00,0.7083444209810587
u12,u02,0.6288409005829608
u12,u08,0.6002703915271561
u12,u13,0.6113971870124535
u12,u24,0.47778817992035805
u12,u59,0.4049756166955088
u12,u46,0.34560538222965753
u12,u41,0.27290758847101787
u12,u50,0.24691967774970158
u12,u31,0.24239381003062338
u12,u15,0.19915000135206457
u12,u18,0.19061840711552663
u12,u51,0.16933814975017847
u07,u09,0.5410020655742838
u07,u20,0.46792506453711785
u07,u16,0.46519698141337706
u07,u41,0.464976317879491
u07,u43,0.41711172325583445
u07,u15,0.4082832222705715
u46,u02,0.29063001111500897
u46,u08,0.2872346467853058
u46,u31,0.3176889712965295
u46,u59,0.18816141459605437
u46,u50,0.03269967148806471
u08,u49,0.293892391544939
u08,u41,0.2263941918122959
u08,u00,0.4667513355661857
u08,u02,0.22959126332976837
u08,u24,0.5892624714754094
u08,u59,0.4070267802487516
u08,u13,0.37583393920203007
u08,u10,0.26913735605619005
u08,u30,0.13423076499617842
u02,u15,0.1460577343180886
u02,u00,0.6246360292445883
u02,u13,0.38239528526789435
u02,u24,0.30573623625798196
u02,u50,0.2859106787247472
u02,u59,0.24978842070636406
u02,u31,0.19039427978300758
u02,u44,0.14944174719865144
u50,u42,0.40238334103335516
u50,u47,0.13961927853938655
u50,u41,0.12846945931919151
u50,u51,0.6022047414445476
u50,u45,0.174110374044135
