source,target,weight
u25,u18,1.0
u25,u19,1.0
u25,u20,1.0
u25,u23,1.0
u25,u24,1.0
u25,u27,1.0
u25,u30,1.0
u25,u31,1.0
u25,u32,1.0
u25,u41,1.0
u25,u43,1.0
u25,u44,1.0
u25,u45,1.0
u25,u46,1.0
u25,u49,1.0
u25,u50,1.0
u25,u51,1.0
u25,u52,1.0
u25,u53,1.0
u25,u54,1.0
u25,u57,1.0
u25,u58,1.0
u25,u59,1.0
u32,u02,1.0
u32,u03,1.0
u32,u04,1.0
u32,u05,1.0
u32,u07,1.0
u32,u08,1.0
u32,u10,1.0
u32,u12,1.0
u32,u13,1.0
u32,u15,1.0
u32,u16,1.0
u32,u18,1.0
u32,u19,1.0
u32,u20,1.0
u32,u23,1.0
u32,u24,1.0
u32,u27,1.0
u32,u30,1.0
u32,u31,1.0
u32,u41,1.0
u32,u43,1.0
u32,u44,1.0
u32,u45,1.0
u32,u46,1.0
u32,u49,1.0
u32,u50,1.0
u32,u51,1.0
u32,u52,1.0
u32,u53,1.0
u32,u54,2.0
u32,u57,1.0
u32,u58,1.0
u32,u59,1.0
u49,u02,1.0
u49,u03,1.0
u49,u04,1.0
u49,u05,1.0
u49,u07,1.0
u49,u08,1.0
u49,u10,1.0
u49,u12,1.0
u49,u13,1.0
u49,u15,1.0
u49,u16,1.0
u49,u18,1.0
u49,u19,1.0
u49,u20,1.0
u49,u23,1.0
u49,u24,1.0
u49,u27,1.0
u49,u30,1.0
u49,u31,1.0
u49,u41,1.0
u49,u43,1.0
u49,u44,1.0
u49,u45,1.0
u49,u46,1.0
u49,u50,1.0
u49,u51,1.0
u49,u52,1.0
u49,u53,1.0
u49,u54,1.0
u49,u57,1.0
u49,u58,1.0
u49,u59,1.0
u04,u02,1.0
u04,u03,1.0
u04,u05,1.0
u04,u07,1.0
u04,u08,1.0
u04,u10,1.0
u04,u12,1.0
u04,u13,1.0
u04,u15,1.0
u04,u16,1.0
u04,u18,1.0
u04,u19,1.0
u04,u20,1.0
u04,u23,1.0
u04,u24,1.0
u04,u27,1.0
u04,u30,1.0
u04,u31,1.0
u04,u41,1.0
u04,u43,1.0
u04,u44,1.0
u04,u45,1.0
u04,u46,1.0
u04,u50,1.0
u04,u51,1.0
u04,u52,1.0
u04,u53,1.0
u04,u54,1.0
u04,u57,1.0
u04,u58,1.0
u04,u59,1.0
u12,u02,1.0
u12,u03,1.0
u12,u05,2.0
u12,u07,1.0
u12,u08,2.0
u12,u10,2.0
u12,u13,1.0
u12,u15,1.0
u12,u16,1.0
u12,u18,3.0
u12,u19,2.0
u12,u20,1.0
u12,u23,1.0
u12,u24,1.0
u12,u27,1.0
u12,u30,2.0
u12,u31,1.0
u12,u41,2.0
u12,u43,1.0
u12,u44,1.0
u12,u45,1.0
u12,u46,2.0
u12,u50,1.0
u12,u51,1.0
u12,u52,2.0
u12,u53,2.0
u12,u54,1.0
u12,u57,1.0
u12,u58,1.0
u12,u59,1.0
u27,u02,1.0
u27,u03,1.0
u27,u05,1.0
u27,u07,1.0
u27,u08,1.0
u27,u10,1.0
u27,u13,1.0
u27,u15,1.0
u27,u16,1.0
u27,u18,1.0
u27,u19,1.0
u27,u20,1.0
u27,u23,1.0
u27,u24,1.0
u27,u30,1.0
u27,u31,1.0
u27,u41,1.0
u27,u43,1.0
u27,u44,1.0
u27,u45,1.0
u27,u46,1.0
u27,u50,1.0
u27,u51,1.0
